,Plot,Quad,Type,Tree Tag No.,Species,DBH
PPW1322.28,PPW1322,C2,TR,2497,QUEDOU,36.8
PPW1322.29,PPW1322,C2,TR,2497.1,QUEDOU,32.25
PPW1322.31,PPW1322,D3,TR,2505,QUEDOU,33.35
PPW1323.7,PPW1323,B3,TR,1903,ARCMAN,20.6
PPW1323.8,PPW1323,B3,TR,1903.1,ARCMAN,20.2
PPW1323.9,PPW1323,B3,TR,1903.2,ARCMAN,19.4
PPW1323.19,PPW1323,D3,TR,1961,QUEAGR,27.3
PPW1323.20,PPW1323,D3,TR,1961.1,QUEAGR,16.1
PPW1323.4,PPW1323,A1,TR,1912,QUEDOU,36.1
PPW1323.6,PPW1323,B3,TR,1921,QUEDOU,19.3
PPW1323.14,PPW1323,C3,TR,1911,QUEDOU,39.9
PPW1323.15,PPW1323,C4,TR,1960,QUEDOU,35.9
PPW1323.16,PPW1323,D4,TR,1913,QUEDOU,37.4
PPW1323.22,PPW1323,D2,TR,1962,QUEDOU,49.7
PPW1323.23,PPW1323,D1,TR,1904,QUEDOU,36.7
PPW1323.24,PPW1323,D1,TR,1902,QUEDOU,31.8
PPW1332.5,PPW1332,A2,TR,2594,QUEDEC,24.75
PPW1332.8,PPW1332,A3,TR,2596,QUEDEC,24.75
PPW1332.9,PPW1332,A3,TR,2593,QUEDEC,24.65
PPW1332.11,PPW1332,A4,TR,2598,QUEDEC,38.7
PPW1332.14,PPW1332,B3,TR,2599,QUEDEC,34.1
PPW1332.15,PPW1332,B3,TR,2601,QUEDEC,25.1
PPW1332.19,PPW1332,B2,TR,2605,QUEDEC,33
PPW1332.22,PPW1332,B1,TR,2607,QUEDEC,35.6
PPW1332.4,PPW1332,A2,TR,2582,UMBCAL,23.2
PPW1332.6,PPW1332,A2,TR,2595,UMBCAL,18.1
PPW1332.7,PPW1332,A2,TR,2567,UMBCAL,20.5
PPW1332.12,PPW1332,B3,TR,2600,UMBCAL,17.95
PPW1332.13,PPW1332,B3,TR,2600.1,UMBCAL,20.6
PPW1332.18,PPW1332,B2,TR,2604,UMBCAL,15.1
PPW1332.21,PPW1332,B2,TR,2606,UMBCAL,23.5
PPW1335.34,PPW1335,D2,TR,2589,AESCAL,20.35
PPW1335.35,PPW1335,D2,TR,2589.1,AESCAL,15.3
PPW1335.37,PPW1335,D1,TR,2590,AESCAL,14.45
PPW1335.38,PPW1335,D1,TR,2590.1,AESCAL,14.4
PPW1335.4,PPW1335,A1,TR,2544,QUEDOU,28.7
PPW1335.6,PPW1335,A3,TR,2545,QUEDOU,39.9
PPW1335.9,PPW1335,B3,TR,2566,QUEDOU,39.1
PPW1335.10,PPW1335,B3,TR,2568,QUEDOU,24.9
PPW1335.12,PPW1335,B2,TR,2569,QUEDOU,46.5
PPW1335.15,PPW1335,B1,TR,2571,QUEDOU,28.85
PPW1335.16,PPW1335,C1,TR,2577,QUEDOU,32.4
PPW1335.19,PPW1335,C1,TR,2578,QUEDOU,27.55
PPW1335.25,PPW1335,C4,TR,2582,QUEDOU,30.6
PPW1335.26,PPW1335,C4,TR,2583,QUEDOU,34
PPW1335.27,PPW1335,D4,TR,2584,QUEDOU,43.2
PPW1335.31,PPW1335,D3,TR,2587,QUEDOU,41.85
PPW1335.36,PPW1335,D1,TR,2591,QUEDOU,32.9
PPW1335.39,PPW1335,D1,TR,2592,QUEDOU,28.75
PPW1338.12,PPW1338,A4,TR,2513,PSEMEN,6.75
PPW1338.5,PPW1338,A2,TR,2509,QUEAGR,49.7
PPW1338.6,PPW1338,A2,TR,2509.1,QUEAGR,22.5
PPW1338.7,PPW1338,A2,TR,2509.2,QUEAGR,37.5
PPW1338.8,PPW1338,A2,TR,2509.3,QUEAGR,40.3
PPW1338.13,PPW1338,A4,TR,2512,QUEAGR,41.6
PPW1338.14,PPW1338,A4,TR,2512.1,QUEAGR,22.15
PPW1338.21,PPW1338,B1,TR,2517,QUEAGR,38.9
PPW1338.22,PPW1338,B1,TR,2517.1,QUEAGR,15.55
PPW1338.23,PPW1338,B1,TR,2517.2,QUEAGR,24.4
PPW1338.24,PPW1338,C2,TR,2518,QUEAGR,31.9
PPW1338.25,PPW1338,C2,TR,2518.1,QUEAGR,22
PPW1338.26,PPW1338,D4,TR,2520,QUEAGR,55.35
PPW1338.30,PPW1338,D1,TR,2523,QUEAGR,29.6
PPW1338.31,PPW1338,D1,TR,2523.1,QUEAGR,29.9
PPW1339.5,PPW1339,A1,TR,2528,QUEAGR,38.8
PPW1339.12,PPW1339,A2,TR,2527,QUEAGR,62.8
PPW1339.22,PPW1339,B4,TR,2543,QUEAGR,22.8
PPW1339.23,PPW1339,B4,TR,2543.1,QUEAGR,9.35
PPW1339.24,PPW1339,B4,TR,2543.2,QUEAGR,22.75
PPW1339.29,PPW1339,C1,TR,2550,QUEAGR,11.05
PPW1339.36,PPW1339,C3,TR,2557,QUEAGR,38.4
PPW1339.37,PPW1339,C3,TR,2557.1,QUEAGR,26.5
PPW1339.38,PPW1339,C3,TR,2557.2,QUEAGR,36.95
PPW1339.39,PPW1339,C3,TR,2557.3,QUEAGR,33.5
PPW1339.40,PPW1339,C3,TR,2554,QUEAGR,65.2
