plot,date,device,quad,reading
PPW1331,20150504,ack,B4,9
PPW1331,20150504,ack,B3,5.7
PPW1331,20150504,ack,B2,4.2
PPW1331,20150504,ack,B1,9.5
PPW1331,20150504,ack,C1,5.6
PPW1331,20150504,ack,C2,6.5
PPW1331,20150504,ack,C3,6.2
PPW1331,20150504,ack,C4,6.1
PPW1331,20150504,ack,D4,6.6
PPW1331,20150504,ack,D3,7.6
PPW1331,20150504,ack,D2,7.6
PPW1331,20150504,ack,D1,6.9
,,,,
PPW1310,20150504,ack,A1,11.5
PPW1310,20150504,ack,A2,15.4
PPW1310,20150504,ack,A3,11.5
PPW1310,20150504,ack,A4,13.7
PPW1310,20150504,ack,B4,16.2
PPW1310,20150504,ack,B3,12.5
PPW1310,20150504,ack,B2,25.8
PPW1310,20150504,ack,B1,14.6
PPW1310,20150504,ack,C1,13.2
PPW1310,20150504,ack,C2,17.8
PPW1310,20150504,ack,C3,14.7
PPW1310,20150504,ack,C4,14.6
PPW1310,20150504,ack,D4,19.1
PPW1310,20150504,ack,D3,16.1
PPW1310,20150504,ack,D2,17.1
PPW1310,20150504,ack,D1,10.3
,,,,
PPW1341,20150504,ack,A1,7.6
PPW1341,20150504,ack,A2,8.9
PPW1341,20150504,ack,A3,7.9
PPW1341,20150504,ack,A4,6.6
PPW1341,20150504,ack,B4,9.7
PPW1341,20150504,ack,B3,6.9
PPW1341,20150504,ack,B2,7.8
PPW1341,20150504,ack,B1,10.8
PPW1341,20150504,ack,C1,6.5
PPW1341,20150504,ack,C2,4.9
PPW1341,20150504,ack,C3,10.7
PPW1341,20150504,ack,C4,9.2
PPW1341,20150504,ack,D4,11.6
PPW1341,20150504,ack,D3,9.3
PPW1341,20150504,ack,D2,9.9
PPW1341,20150504,ack,D1,7.9
,,,,
PPW1309,20150504,ack,A1,10.9
PPW1309,20150504,ack,A2,6.6
PPW1309,20150504,ack,A3,9
PPW1309,20150504,ack,A4,8.5
PPW1309,20150504,ack,B4,8.3
PPW1309,20150504,ack,B3,11.2
PPW1309,20150504,ack,B2,6.7
PPW1309,20150504,ack,B1,8.5
PPW1309,20150504,ack,C1,8.4
PPW1309,20150504,ack,C2,8.1
PPW1309,20150504,ack,C3,8.5
PPW1309,20150504,ack,C4,7.8
PPW1309,20150504,ack,D4,9.5
PPW1309,20150504,ack,D3,9.1
PPW1309,20150504,ack,D2,6.7
PPW1309,20150504,ack,D1,7.6
,,,,
PPW1311,20150504,ack,A1,11.7
PPW1311,20150504,ack,A2,3.4
PPW1311,20150504,ack,A3,6.4
PPW1311,20150504,ack,A4,5.6
PPW1311,20150504,ack,B4,7.8
PPW1311,20150504,ack,B3,6.6
PPW1311,20150504,ack,B2,7.2
PPW1311,20150504,ack,B1,5.9
PPW1311,20150504,ack,C1,3.9
PPW1311,20150504,ack,C2,5.1
PPW1311,20150504,ack,C3,5.7
PPW1311,20150504,ack,C4,6.7
PPW1311,20150504,ack,D4,7.4
PPW1311,20150504,ack,D3,6.5
PPW1311,20150504,ack,D2,7.8
PPW1311,20150504,ack,D1,4.4
,,,,
PPW1308,20150504,ack,A1,9.7
PPW1308,20150504,ack,A2,7.2
PPW1308,20150504,ack,A3,11.5
PPW1308,20150504,ack,A4,8.9
PPW1308,20150504,ack,B4,8.6
PPW1308,20150504,ack,B3,9
PPW1308,20150504,ack,B2,10.1
PPW1308,20150504,ack,B1,13.9
PPW1308,20150504,ack,C1,16.9
PPW1308,20150504,ack,C2,12.1
PPW1308,20150504,ack,C3,8.5
PPW1308,20150504,ack,C4,9.6
PPW1308,20150504,ack,D4,12.3
PPW1308,20150504,ack,D3,9.9
PPW1308,20150504,ack,D2,12.8
PPW1308,20150504,ack,D1,17.6
,,,,
PPW1302,20150503,ack,A1,6.4
PPW1302,20150503,ack,A2,10
PPW1302,20150503,ack,A3,11.9
PPW1302,20150503,ack,A4,7.9
PPW1302,20150503,ack,B4,10.3
PPW1302,20150503,ack,B3,16.1
PPW1302,20150503,ack,B2,10.3
PPW1302,20150503,ack,B1,12.4
PPW1302,20150503,ack,C1,9.9
PPW1302,20150503,ack,C2,7.5
PPW1302,20150503,ack,C3,9.2
PPW1302,20150503,ack,C4,9.9
PPW1302,20150503,ack,D4,10.8
PPW1302,20150503,ack,D3,10.7
PPW1302,20150503,ack,D2,8.7
PPW1302,20150503,ack,D1,12.5
,,,,
PPW1303,20150503,ack,A1,7.1
PPW1303,20150503,ack,A2,8.9
PPW1303,20150503,ack,A3,6.9
PPW1303,20150503,ack,A4,6.2
PPW1303,20150503,ack,B4,12.9
PPW1303,20150503,ack,B3,11.6
PPW1303,20150503,ack,B2,10.9
PPW1303,20150503,ack,B1,8.6
PPW1303,20150503,ack,C1,10.1
PPW1303,20150503,ack,C2,10.2
PPW1303,20150503,ack,C3,9.9
PPW1303,20150503,ack,C4,14.8
PPW1303,20150503,ack,D4,12.2
PPW1303,20150503,ack,D3,16.5
PPW1303,20150503,ack,D2,10.7
PPW1303,20150503,ack,D1,5.5
,,,,
PPW1304,20150503,ack,A1,7.1
PPW1304,20150503,ack,A2,8
PPW1304,20150503,ack,A3,NA
PPW1304,20150503,ack,A4,17.8
PPW1304,20150503,ack,B4,10.4
PPW1304,20150503,ack,B3,NA
PPW1304,20150503,ack,B2,10.3
PPW1304,20150503,ack,B1,10.5
PPW1304,20150503,ack,C1,13.8
PPW1304,20150503,ack,C2,11.9
PPW1304,20150503,ack,C3,16.5
PPW1304,20150503,ack,C4,NA
PPW1304,20150503,ack,D4,7.2
PPW1304,20150503,ack,D3,15.3
PPW1304,20150503,ack,D2,20.5
PPW1304,20150503,ack,D1,19.2
,,,,
PPW1321,20150503,ack,A1,6.7
PPW1321,20150503,ack,A2,6.5
PPW1321,20150503,ack,A3,7.9
PPW1321,20150503,ack,A4,11
PPW1321,20150503,ack,B4,11.6
PPW1321,20150503,ack,B3,6.1
PPW1321,20150503,ack,B2,6.8
PPW1321,20150503,ack,B1,7.9
PPW1321,20150503,ack,C1,6.4
